Data calculated via Fourier domain filtering

Frequency:	3.1600000

Number of harmonics used:	15

Number of cycles in input:	1

Time	Strain	Rate	Stress	G'_t	G"_t	|G*_t|	tan(delta_t)	delta_t	displacement stress	est. elastic stress	dG'_{t}/dt	dG"_{t}/dt	Speed	norm. PAV
[s]	[-]	[1/s]	[Pa]	[Pa]	[Pa]	[Pa]	[]	[rad]	[Pa]	[Pa]	[Pa/s]	[Pa/s]	[Pa/s]	[]

0.0000000	0.0000000	9.9999984	20.2545853	0.2618301	5.0676553	5.0744147	19.3547456	1.5191753	4.2177041	-16.1085521	-0.0000000	-17.5395542	17.5395542	-0.1106307
0.0019417	0.0613588	9.9998102	20.2697011	0.2616228	5.0002739	5.0071135	19.1125342	1.5185223	4.4302969	-16.8725533	-0.1134529	-18.4897261	18.4900742	-0.1020679
0.0038835	0.1227154	9.9992454	20.2829338	0.2609910	4.9317044	4.9386056	18.8960673	1.5179246	4.6454242	-17.6764553	-0.2380796	-19.3995024	19.4009632	-0.0926090
0.0058252	0.1840673	9.9983042	20.2943087	0.2599217	4.8620320	4.8689747	18.7057595	1.5173877	4.8628975	-18.5250219	-0.3731426	-20.2686409	20.2720754	-0.0822348
0.0077670	0.2454123	9.9969866	20.3038517	0.2584028	4.7913417	4.7983047	18.5421436	1.5169173	5.0825316	-19.4236150	-0.5179017	-21.0969805	21.1033364	-0.0709243
0.0097087	0.3067480	9.9952926	20.3115889	0.2564242	4.7197180	4.7266787	18.4059007	1.5165193	5.3041456	-20.3782963	-0.6716168	-21.8844382	21.8947415	-0.0586545
0.0116505	0.3680722	9.9932223	20.3175471	0.2539770	4.6472448	4.6541797	18.2978936	1.5161995	5.5275621	-21.3959509	-0.8335493	-22.6310077	22.6463532	-0.0454006
0.0135922	0.4293826	9.9907757	20.3217533	0.2510540	4.5740050	4.5808896	18.2192044	1.5159642	5.7526078	-22.4844397	-1.0029645	-23.3367563	23.3582991	-0.0311353
0.0155340	0.4906767	9.9879530	20.3242350	0.2476493	4.5000807	4.5068899	18.1711792	1.5158196	5.9791134	-23.6527881	-1.1791338	-24.0018227	24.0307688	-0.0158295
0.0174757	0.5519524	9.9847542	20.3250199	0.2437585	4.4255531	4.4322611	18.1554816	1.5157721	6.2069135	-24.9114196	-1.3613360	-24.6264140	24.6640123	0.0005485
0.0194175	0.6132074	9.9811796	20.3241361	0.2393785	4.3505020	4.3570827	18.1741581	1.5158286	6.4358470	-26.2724491	-1.5488596	-25.2108031	25.2583364	0.0180326
0.0213592	0.6744392	9.9772291	20.3216119	0.2345075	4.2750060	4.2814331	18.2297196	1.5159958	6.6657566	-27.7500529	-1.7410040	-25.7553255	25.8141025	0.0366591
0.0233010	0.7356456	9.9729030	20.3174759	0.2291452	4.1991423	4.2053898	18.3252438	1.5162809	6.8964889	-29.3609391	-1.9370815	-26.2603765	26.3317234	0.0564669
0.0252427	0.7968244	9.9682014	20.3117570	0.2232925	4.1229866	4.1290287	18.4645069	1.5166912	7.1278950	-31.1249542	-2.1364182	-26.7264079	26.8116609	0.0774977
0.0271845	0.8579731	9.9631246	20.3044840	0.2169515	4.0466131	4.0524247	18.6521538	1.5172345	7.3598294	-33.0658707	-2.3383559	-27.1539249	27.2544225	0.0997958
0.0291262	0.9190896	9.9576726	20.2956860	0.2101255	3.9700942	3.9756510	18.8939222	1.5179186	7.5921511	-35.2124241	-2.5422527	-27.5434831	27.6605587	0.1234084
0.0310680	0.9801714	9.9518457	20.2853925	0.2028188	3.8935006	3.8987796	19.1969407	1.5187517	7.8247228	-37.5996968	-2.7474847	-27.8956847	28.0306600	0.1483857
0.0330097	1.0412163	9.9456441	20.2736326	0.1950371	3.8169012	3.8218809	19.5701332	1.5197425	8.0574110	-40.2709895	-2.9534466	-28.2111761	28.3653539	0.1747810
0.0349515	1.1022221	9.9390681	20.2604358	0.1867868	3.7403629	3.7450239	20.0247740	1.5208996	8.2900863	-43.2803972	-3.1595524	-28.4906439	28.6653024	0.2026509
0.0368932	1.1631863	9.9321179	20.2458317	0.1780755	3.6639510	3.6682758	20.5752661	1.5222325	8.5226229	-46.6964155	-3.3652369	-28.7348120	28.9311983	0.2320553
0.0388350	1.2241067	9.9247938	20.2298496	0.1689117	3.5877283	3.5917023	21.2402537	1.5237506	8.7548989	-50.6070958	-3.5699555	-28.9444385	29.1637635	0.2630574
0.0407767	1.2849811	9.9170960	20.2125192	0.1593049	3.5117561	3.5153675	22.0442494	1.5254641	8.9867959	-55.1275845	-3.7731852	-29.1203124	29.3637450	0.2957241
0.0427185	1.3458071	9.9090248	20.1938698	0.1492651	3.4360931	3.4393337	23.0200761	1.5273833	9.2181992	-60.4114384	-3.9744252	-29.2632507	29.5319132	0.3301258
0.0446602	1.4065824	9.9005805	20.1739310	0.1388034	3.3607964	3.3636616	24.2126459	1.5295191	9.4489978	-66.6681256	-4.1731969	-29.3740949	29.6690584	0.3663369
0.0466019	1.4673047	9.8917635	20.1527321	0.1279315	3.2859207	3.2884102	25.6850102	1.5318828	9.6790838	-74.1910531	-4.3690443	-29.4537087	29.7759887	0.4044351
0.0485437	1.5279718	9.8825741	20.1303023	0.1166618	3.2115186	3.2136368	27.5284559	1.5344862	9.9083531	-83.4043281	-4.5615343	-29.5029746	29.8535275	0.4445023
0.0504854	1.5885814	9.8730126	20.1066709	0.1050074	3.1376406	3.1393972	29.8801967	1.5373418	10.1367048	-94.9446977	-4.7502566	-29.5227913	29.9025106	0.4866241
0.0524272	1.6491312	9.8630794	20.0818669	0.0929818	3.0643349	3.0657452	32.9562815	1.5404624	10.3640409	-109.8139641	-4.9348240	-29.5140710	29.9237844	0.5308899
0.0543689	1.7096189	9.8527749	20.0559193	0.0805993	2.9916477	2.9927333	37.1175446	1.5438614	10.5902671	-129.6844319	-5.1148718	-29.4777368	29.9182032	0.5773928
0.0563107	1.7700422	9.8420994	20.0288566	0.0678744	2.9196231	2.9204119	43.0150816	1.5475529	10.8152919	-157.5726708	-5.2900584	-29.4147203	29.8866273	0.6262296
0.0582524	1.8303989	9.8310533	20.0007075	0.0548222	2.8483028	2.8488303	51.9552654	1.5515514	11.0390267	-199.5300609	-5.4600646	-29.3259591	29.8299209	0.6775004
0.0601942	1.8906866	9.8196371	19.9715004	0.0414582	2.7777266	2.7780359	67.0007212	1.5558722	11.2613859	-269.7418729	-5.6245935	-29.2123945	29.7489503	0.7313085
0.0621359	1.9509032	9.8078513	19.9412634	0.0277980	2.7079320	2.7080747	97.4146046	1.5605313	11.4822870	-411.1105896	-5.7833702	-29.0749694	29.6445816	0.7877599
0.0640777	2.0110463	9.7956961	19.9100244	0.0138578	2.6389547	2.6389911	190.4305771	1.5655451	11.7016499	-842.3960094	-5.9361413	-28.9146265	29.5176795	0.8469630
0.0660194	2.0711137	9.7831722	19.8778110	-0.0003461	2.5708279	2.5708279	-7428.8317128	1.5709309	11.9193974	34445.1377125	-6.0826750	-28.7323061	29.3691053	0.9090278
0.0679612	2.1311032	9.7702799	19.8446508	-0.0147971	2.5035831	2.5036269	-169.1936626	1.5767066	12.1354546	822.2524649	-6.2227599	-28.5289442	29.1997157	0.9740651
0.0699029	2.1910124	9.7570198	19.8105707	-0.0294787	2.4372497	2.4374280	-82.6782315	1.5828908	12.3497496	421.1285714	-6.3562052	-28.3054715	29.0103613	1.0421857
0.0718447	2.2508391	9.7433923	19.7755978	-0.0443740	2.3718551	2.3722701	-53.4514339	1.5895027	12.5622125	285.3491933	-6.4828400	-28.0628110	28.8018849	1.1134992
0.0737864	2.3105811	9.7293980	19.7397585	-0.0594661	2.3074246	2.3081908	-38.8023517	1.5965623	12.7727760	217.1014508	-6.6025125	-27.8018771	28.5751210	1.1881123
0.0757282	2.3702360	9.7150374	19.7030791	-0.0747380	2.2439820	2.2452262	-30.0246339	1.6040900	12.9813751	176.0619326	-6.7150898	-27.5235742	28.3308942	1.2661274
0.0776699	2.4298018	9.7003110	19.6655857	-0.0901728	2.1815487	2.1834115	-24.1929711	1.6121071	13.1879469	148.6816893	-6.8204572	-27.2287955	28.0700185	1.3476403
0.0796117	2.4892760	9.6852194	19.6273036	-0.1057536	2.1201448	2.1227807	-20.0479754	1.6206354	13.3924308	129.1273835	-6.9185177	-26.9184217	27.7932962	1.4327379
0.0815534	2.5486566	9.6697632	19.5882584	-0.1214633	2.0597882	2.0633664	-16.9581101	1.6296970	13.5947683	114.4735491	-7.0091913	-26.5933202	27.5015171	1.5214953
0.0834952	2.6079411	9.6539429	19.5484749	-0.1372853	2.0004954	2.0052005	-14.5718146	1.6393145	13.7949028	103.0914329	-7.0924145	-26.2543443	27.1954580	1.6139728
0.0854369	2.6671275	9.6377591	19.5079778	-0.1532027	1.9422810	1.9483138	-12.6778512	1.6495111	13.9927798	94.0022009	-7.1681396	-25.9023321	26.8758820	1.7102114
0.0873787	2.7262135	9.6212125	19.4667912	-0.1691990	1.8851581	1.8927359	-11.1416597	1.6603097	14.1883467	86.5821689	-7.2363343	-25.5381061	26.5435378	1.8102294
0.0893204	2.7851969	9.6043037	19.4249391	-0.1852578	1.8291380	1.8384956	-9.8734708	1.6717336	14.3815528	80.4151214	-7.2969807	-25.1624725	26.1991593	1.9140167
0.0912621	2.8440753	9.5870332	19.3824450	-0.2013629	1.7742306	1.7856207	-8.8111097	1.6838059	14.5723490	75.2126643	-7.3500754	-24.7762205	25.8434655	2.0215299
0.0932039	2.9028467	9.5694018	19.3393320	-0.2174982	1.7204444	1.7341379	-7.9101560	1.6965490	14.7606883	70.7686538	-7.3956280	-24.3801219	25.4771595	2.1326860
0.0951456	2.9615088	9.5514102	19.2956229	-0.2336478	1.6677863	1.6840732	-7.1380346	1.7099850	14.9465253	66.9318241	-7.4336614	-23.9749310	25.1009290	2.2473562
0.0970874	3.0200595	9.5330589	19.2513401	-0.2497963	1.6162618	1.6354512	-6.4703182	1.7241350	15.1298161	63.5886642	-7.4642106	-23.5613839	24.7154456	2.3653583
0.0990291	3.0784964	9.5143487	19.2065055	-0.2659284	1.5658752	1.5882957	-5.8883335	1.7390187	15.3105187	60.6523299	-7.4873224	-23.1401985	24.3213648	2.4864499
0.1009709	3.1368174	9.4952803	19.1611409	-0.2820291	1.5166294	1.5426293	-5.3775644	1.7546540	15.4885926	58.0552464	-7.5030547	-22.7120742	23.9193257	2.6103208
0.1029126	3.1950203	9.4758544	19.1152673	-0.2980835	1.4685260	1.4984733	-4.9265585	1.7710570	15.6639989	55.7440443	-7.5114762	-22.2776915	23.5099513	2.7365850
0.1048544	3.2531029	9.4560718	19.0689056	-0.3140775	1.4215654	1.4558478	-4.5261616	1.7882409	15.8367001	53.6760126	-7.5126655	-21.8377124	23.0938483	2.8647742
