Data calculated via Fourier domain filtering

Frequency:	3.1600000

Number of harmonics used:	15

Number of cycles in input:	1

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

31.5999996	-0.0000000	8.2738315	0.2481812	-0.1998661	-0.9478711	0.0506244	0.9798232	-0.1933484
31.5994048	-0.1938939	7.2976008	0.2191846	-0.2023515	-0.9544695	0.0512383	0.9792947	-0.1958482
31.5976202	-0.3877805	6.3342770	0.1899756	-0.2047533	-0.9602007	0.0517959	0.9787397	-0.1984587
31.5946460	-0.5816526	5.3841194	0.1606436	-0.2070741	-0.9650461	0.0522918	0.9781570	-0.2011828
31.5904823	-0.7755027	4.4473705	0.1312786	-0.2093188	-0.9689951	0.0527202	0.9775454	-0.2040233
31.5851292	-0.9693236	3.5242567	0.1019699	-0.2114942	-0.9720454	0.0530756	0.9769037	-0.2069835
31.5785870	-1.1631081	2.6149880	0.0728050	-0.2136090	-0.9742026	0.0533521	0.9762303	-0.2100665
31.5708558	-1.3568487	1.7197584	0.0438681	-0.2156738	-0.9754796	0.0535437	0.9755237	-0.2132756
31.5619360	-1.5505383	0.8387456	0.0152391	-0.2177007	-0.9758966	0.0536444	0.9747823	-0.2166144
31.5518280	-1.7441694	-0.0278880	-0.0130073	-0.2197035	-0.9754800	0.0536479	0.9740040	-0.2200864
31.5405320	-1.9377350	-0.8799958	-0.0408026	-0.2216972	-0.9742615	0.0535478	0.9731870	-0.2236953
31.5280485	-2.1312275	-1.7174465	-0.0680850	-0.2236982	-0.9722775	0.0533376	0.9723291	-0.2274451
31.5143781	-2.3246398	-2.5401239	-0.0947995	-0.2257235	-0.9695679	0.0530104	0.9714278	-0.2313396
31.4995211	-2.5179646	-3.3479265	-0.1208988	-0.2277911	-0.9661753	0.0525592	0.9704805	-0.2353829
31.4834782	-2.7111946	-4.1407674	-0.1463425	-0.2299194	-0.9621439	0.0519771	0.9694845	-0.2395792
31.4662499	-2.9043226	-4.9185737	-0.1710976	-0.2321272	-0.9575190	0.0512565	0.9684366	-0.2439329
31.4478370	-3.0973411	-5.6812868	-0.1951380	-0.2344337	-0.9523455	0.0503900	0.9673336	-0.2484483
31.4282401	-3.2902431	-6.4288613	-0.2184442	-0.2368579	-0.9466681	0.0493697	0.9661718	-0.2531299
31.4074599	-3.4830212	-7.1612653	-0.2410028	-0.2394189	-0.9405298	0.0481877	0.9649472	-0.2579822
31.3854972	-3.6756682	-7.8784795	-0.2628057	-0.2421355	-0.9339719	0.0468356	0.9636556	-0.2630100
31.3623529	-3.8681767	-8.5804975	-0.2838503	-0.2450263	-0.9270335	0.0453051	0.9622924	-0.2682177
31.3380278	-4.0605397	-9.2673246	-0.3041381	-0.2481095	-0.9197509	0.0435874	0.9608525	-0.2736103
31.3125229	-4.2527497	-9.9389784	-0.3236746	-0.2514030	-0.9121575	0.0416736	0.9593305	-0.2791922
31.2858391	-4.4447997	-10.5954875	-0.3424685	-0.2549241	-0.9042837	0.0395546	0.9577205	-0.2849683
31.2579773	-4.6366823	-11.2368918	-0.3605313	-0.2586896	-0.8961567	0.0372208	0.9560161	-0.2909431
31.2289388	-4.8283903	-11.8632418	-0.3778766	-0.2627158	-0.8878005	0.0346627	0.9542104	-0.2971212
31.1987244	-5.0199165	-12.4745981	-0.3945200	-0.2670185	-0.8792355	0.0318705	0.9522960	-0.3035071
31.1673355	-5.2112538	-13.0710313	-0.4104780	-0.2716127	-0.8704794	0.0288341	0.9502650	-0.3101048
31.1347731	-5.4023948	-13.6526216	-0.4257682	-0.2765130	-0.8615462	0.0255434	0.9481087	-0.3169186
31.1010385	-5.5933325	-14.2194581	-0.4404087	-0.2817333	-0.8524474	0.0219881	0.9458179	-0.3239521
31.0661330	-5.7840595	-14.7716387	-0.4544175	-0.2872865	-0.8431911	0.0181576	0.9433828	-0.3312087
31.0300579	-5.9745688	-15.3092696	-0.4678128	-0.2931851	-0.8337827	0.0140415	0.9407927	-0.3386916
30.9928145	-6.1648532	-15.8324650	-0.4806122	-0.2994407	-0.8242252	0.0096293	0.9380363	-0.3464032
30.9544042	-6.3549055	-16.3413466	-0.4928327	-0.3060640	-0.8145187	0.0049105	0.9351017	-0.3543455
30.9148285	-6.5447185	-16.8360433	-0.5044904	-0.3130649	-0.8046613	-0.0001255	0.9319761	-0.3625198
30.8740889	-6.7342850	-17.3166909	-0.5156006	-0.3204519	-0.7946487	-0.0054887	0.9286459	-0.3709267
30.8321869	-6.9235981	-17.7834315	-0.5261775	-0.3282329	-0.7844746	-0.0111891	0.9250970	-0.3795660
30.7891241	-7.1126505	-18.2364135	-0.5362338	-0.3364142	-0.7741310	-0.0172365	0.9213144	-0.3884362
30.7449021	-7.3014351	-18.6757907	-0.5457811	-0.3450009	-0.7636081	-0.0236399	0.9172824	-0.3975351
30.6995226	-7.4899448	-19.1017228	-0.5548296	-0.3539965	-0.7528948	-0.0304079	0.9129847	-0.4068592
30.6529872	-7.6781725	-19.5143740	-0.5633879	-0.3634029	-0.7419788	-0.0375483	0.9084043	-0.4164034
30.6052978	-7.8661111	-19.9139137	-0.5714633	-0.3732201	-0.7308464	-0.0450681	0.9035238	-0.4261614
30.5564561	-8.0537536	-20.3005153	-0.5790616	-0.3834464	-0.7194836	-0.0529732	0.8983255	-0.4361252
30.5064640	-8.2410928	-20.6743566	-0.5861872	-0.3940775	-0.7078754	-0.0612684	0.8927911	-0.4462850
30.4553233	-8.4281218	-21.0356189	-0.5928430	-0.4051071	-0.6960068	-0.0699568	0.8869023	-0.4566293
30.4030360	-8.6148335	-21.3844871	-0.5990308	-0.4165263	-0.6838625	-0.0790404	0.8806411	-0.4671444
30.3496041	-8.8012208	-21.7211494	-0.6047510	-0.4283234	-0.6714278	-0.0885190	0.8739893	-0.4778149
30.2950294	-8.9872768	-22.0457965	-0.6100030	-0.4404840	-0.6586882	-0.0983905	0.8669296	-0.4886229
30.2393142	-9.1729944	-22.3586220	-0.6147853	-0.4529906	-0.6456304	-0.1086509	0.8594454	-0.4995485
30.1824606	-9.3583666	-22.6598219	-0.6190956	-0.4658225	-0.6322420	-0.1192935	0.8515209	-0.5105695
30.1244705	-9.5433865	-22.9495940	-0.6229312	-0.4789561	-0.6185125	-0.1303092	0.8431420	-0.5216618
30.0653463	-9.7280471	-23.2281381	-0.6262891	-0.4923643	-0.6044331	-0.1416863	0.8342964	-0.5327988
30.0050901	-9.9123414	-23.4956555	-0.6291661	-0.5060171	-0.5899972	-0.1534103	0.8249736	-0.5439520
29.9437043	-10.0962626	-23.7523490	-0.6315596	-0.5198809	-0.5752011	-0.1654636	0.8151659	-0.5550913
29.8811911	-10.2798036	-23.9984223	-0.6334673	-0.5339196	-0.5600438	-0.1778258	0.8048683	-0.5661845
29.8175529	-10.4629576	-24.2340800	-0.6348880	-0.5480939	-0.5445275	-0.1904737	0.7940791	-0.5771985
29.7527921	-10.6457177	-24.4595276	-0.6358218	-0.5623622	-0.5286580	-0.2033809	0.7828001	-0.5880988
29.6869111	-10.8280770	-24.6749709	-0.6362703	-0.5766806	-0.5124447	-0.2165186	0.7710369	-0.5988504
29.6199124	-11.0100286	-24.8806160	-0.6362369	-0.5910035	-0.4959007	-0.2298552	0.7587993	-0.6094179
29.5517986	-11.1915656	-25.0766692	-0.6357272	-0.6052839	-0.4790431	-0.2433567	0.7461015	-0.6197662
