Data calculated via numerical differentiation

Frequency:	3.1600000

Step size for numerical diff.:	8

Standard differentiation

Time	Strain	Rate	Stress	G'_t	G"_t	|G*_t|	tan(delta_t)	delta_t	displacement stress	est. elastic stress	dG'_{t}/dt	dG"_{t}/dt	Speed	norm. PAV
[s]	[-]	[1/s]	[Pa]	[Pa]	[Pa]	[Pa]	[]	[rad]	[Pa]	[Pa]	[Pa/s]	[Pa/s]	[Pa/s]	[]

0.0000000	0.0000000	-10.0000000	-20.2546000	0.2523286	5.0899502	5.0962008	20.1719147	1.5212630	-4.1471626	16.4355653	-0.0022793	-35.3843265	35.3843266	-0.1124101
0.0019417	-0.0613588	-9.9998101	-20.2697000	0.2522776	5.0305957	5.0369174	19.9407168	1.5206897	-4.3349162	17.1217626	-0.2467502	-39.9007515	39.9015145	-0.1095396
0.0038835	-0.1227150	-9.9992405	-20.2829000	0.2520544	4.9779614	4.9843386	19.7495494	1.5202055	-4.5001230	17.7310597	-0.5482235	-44.4387839	44.4421654	-0.0995302
0.0058252	-0.1840670	-9.9982911	-20.2943000	0.2509686	4.8995294	4.9059529	19.5224827	1.5196181	-4.7459145	18.7263273	-0.8194476	-44.3942324	44.4017946	-0.0883227
0.0077670	-0.2454120	-9.9969937	-20.3039000	0.2488259	4.8044519	4.8108910	19.3084901	1.5190519	-5.0434443	20.0235585	-0.9758784	-39.6985816	39.7105744	-0.0691524
0.0097087	-0.3067480	-9.9952848	-20.3116000	0.2473672	4.7427317	4.7491783	19.1728412	1.5186864	-5.2341528	20.8526991	-1.3287963	-43.2708984	43.2912964	-0.0615560
0.0116505	-0.3680720	-9.9932278	-20.3176000	0.2435542	4.6401303	4.6465178	19.0517330	1.5183558	-5.5539421	22.4356457	-1.4381542	-39.0389857	39.0654668	-0.0422770
0.0135922	-0.4293830	-9.9907911	-20.3218000	0.2402883	4.5604137	4.5667397	18.9789278	1.5181550	-5.8002254	23.7092299	-1.6228910	-37.7654400	37.8002941	-0.0281710
0.0155340	-0.4906770	-9.9879430	-20.3242000	0.2391001	4.5243234	4.5306369	18.9223018	1.5179978	-5.9066626	24.2130504	-2.2742233	-46.2461511	46.3020365	-0.0112426
0.0174757	-0.5519520	-9.9847468	-20.3250000	0.2331709	4.4157678	4.4219197	18.9379046	1.5180412	-6.2436669	26.2252643	-2.2259666	-40.2378273	40.2993508	0.0073280
0.0194175	-0.6132070	-9.9811709	-20.3241000	0.2267099	4.3151711	4.3211224	19.0338922	1.5183067	-6.5551875	28.3012274	-2.3690848	-38.5997109	38.6723447	0.0258863
0.0213592	-0.6744390	-9.9772152	-20.3216000	0.2214815	4.2368036	4.2425887	19.1293786	1.5185683	-6.7951669	30.0060767	-2.5010497	-37.0173169	37.1017115	0.0443753
0.0233010	-0.7356460	-9.9729114	-20.3175000	0.2186607	4.1929731	4.1986707	19.1757013	1.5186942	-6.9236845	30.9284033	-3.2144485	-43.5783948	43.6967868	0.0716940
0.0252427	-0.7968240	-9.9681962	-20.3118000	0.2103624	4.0898780	4.0952844	19.4420566	1.5194067	-7.2426890	33.6327533	-3.1564696	-39.4709094	39.5969189	0.0879357
0.0271845	-0.8579730	-9.9631329	-20.3045000	0.2062596	4.0360749	4.0413418	19.5679340	1.5197367	-7.4022341	35.0299707	-3.7480974	-43.4896040	43.6508178	0.1203782
0.0291262	-0.9190900	-9.9576899	-20.2957000	0.2000359	3.9661106	3.9711519	19.8269972	1.5204027	-7.6139695	37.1439311	-4.2322509	-45.7820201	45.9772260	0.1414158
0.0310680	-0.9801710	-9.9518354	-20.2854000	0.1873651	3.8425182	3.8470836	20.5081832	1.5220739	-8.0004498	41.7196105	-3.7799518	-38.3935611	38.5791857	0.1635774
0.0330097	-1.0412200	-9.9456329	-20.2736000	0.1834498	3.7996378	3.8040638	20.7121365	1.5225529	-8.1237901	43.2422248	-4.5723437	-43.6572185	43.8960027	0.2010515
0.0349515	-1.1022200	-9.9390823	-20.2604000	0.1750924	3.7199100	3.7240284	21.2454154	1.5237621	-8.3672541	46.6854389	-4.5667951	-41.1464638	41.3991195	0.2280770
0.0368932	-1.1631900	-9.9321203	-20.2458000	0.1680785	3.6585652	3.6624240	21.7669967	1.5248875	-8.5511441	49.7126903	-5.2882991	-45.1230044	45.4318351	0.2752791
0.0388350	-1.2241100	-9.9248101	-20.2299000	0.1532393	3.5417413	3.5450549	23.1124881	1.5275566	-8.9185492	56.9760360	-5.0270950	-40.7435655	41.0525250	0.2865670
0.0407767	-1.2849800	-9.9170886	-20.2125000	0.1467827	3.4879729	3.4910601	23.7628298	1.5287386	-9.0775147	60.5582284	-5.5587414	-42.8854713	43.2442280	0.3343392
0.0427185	-1.3458100	-9.9090190	-20.1939000	0.1330776	3.3887826	3.3913946	25.4647116	1.5315465	-9.3883752	69.2023170	-5.3131727	-39.1057700	39.4650611	0.3459070
0.0446602	-1.4065800	-9.9005696	-20.1739000	0.1204704	3.3011049	3.3033024	27.4017853	1.5343185	-9.6617846	78.7938859	-5.3324557	-37.5530076	37.9297174	0.3902261
0.0466019	-1.4673000	-9.8917722	-20.1527000	0.1263667	3.2750121	3.2774491	25.9167419	1.5322304	-9.7154868	75.4160082	-5.6905607	-38.3643523	38.7840948	0.4059723
0.0485437	-1.5279700	-9.8825633	-20.1303000	0.1173832	3.2161403	3.2182817	27.3986328	1.5343143	-9.8928060	82.7498713	-5.9231404	-38.3129562	38.7681081	0.4438094
0.0504854	-1.5885800	-9.8730063	-20.1067000	0.1065355	3.1459769	3.1477802	29.5298416	1.5369452	-10.1082669	93.2930830	-6.0026859	-37.2986226	37.7785585	0.4827970
0.0524272	-1.6491300	-9.8630696	-20.0819000	0.0950567	3.0766777	3.0781457	32.3667476	1.5399102	-10.3221372	106.9400838	-6.2943323	-37.6444042	38.1669986	0.5306105
0.0543689	-1.7096200	-9.8527848	-20.0559000	0.0796797	2.9860766	2.9871395	37.4760098	1.5441189	-10.6091810	131.4382591	-6.4828902	-37.3588494	37.9171662	0.5815373
0.0563107	-1.7700400	-9.8420886	-20.0289000	0.0691673	2.9264524	2.9272697	42.3097600	1.5471655	-10.7917863	154.2543272	-6.6189026	-36.8042103	37.3946489	0.6205627
0.0582524	-1.8304000	-9.8310443	-20.0007000	0.0543107	2.8453910	2.8459093	52.3909671	1.5517114	-11.0490221	201.6105140	-6.8010705	-36.5303229	37.1580281	0.6764471
0.0601942	-1.8906900	-9.8196519	-19.9715000	0.0403282	2.7714273	2.7717207	68.7217784	1.5562459	-11.2830838	277.8906342	-6.9193217	-35.9392538	36.5992756	0.7234941
0.0621359	-1.9509000	-9.8078481	-19.9413000	0.0294544	2.7156659	2.7158257	92.1990869	1.5599507	-11.4550910	386.9588401	-7.0399415	-35.3913056	36.0846960	0.7780728
0.0640777	-2.0110500	-9.7956962	-19.9100000	0.0131191	2.6354014	2.6354341	200.8827058	1.5658183	-11.7141257	890.8947613	-7.2444496	-35.2899597	36.0258699	0.8489868
0.0660194	-2.0711100	-9.7831646	-19.8778000	0.0001936	2.5741840	2.5741840	13296.3843573	1.5707211	-11.9078847	61505.5028888	-7.5175784	-35.5156100	36.3025142	0.9179583
0.0679612	-2.1311000	-9.7702848	-19.8446000	-0.0168488	2.4945153	2.4945722	-148.0531593	1.5775506	-12.1678088	-724.3084997	-7.5975322	-34.8371949	35.6560324	0.9832373
0.0699029	-2.1910100	-9.7570253	-19.8106000	-0.0289151	2.4391002	2.4392715	-84.3539904	1.5826506	-12.3428260	-429.0560670	-7.5058894	-33.4223234	34.2547818	1.0272512
0.0718447	-2.2508400	-9.7433861	-19.7756000	-0.0452258	2.3683103	2.3687421	-52.3663562	1.5898902	-12.5750665	-280.3015747	-7.7765167	-33.6627589	34.5493206	1.1255591
0.0737864	-2.3105800	-9.7293987	-19.7398000	-0.0581817	2.3130038	2.3137355	-39.7548370	1.5959452	-12.7526713	-221.4975781	-7.8343849	-32.9907037	33.9081719	1.1830293
0.0757282	-2.3702400	-9.7150316	-19.7031000	-0.0730790	2.2506533	2.2518394	-30.7975312	1.6032551	-12.9569580	-179.6709051	-7.9049866	-32.3959026	33.3464139	1.2745866
0.0776699	-2.4298000	-9.7003165	-19.6656000	-0.0904699	2.1806956	2.1825714	-24.1041034	1.6122593	-13.1912980	-148.2385115	-8.0883464	-32.2908650	33.2884561	1.3629744
0.0796117	-2.4892800	-9.6852215	-19.6273000	-0.1048723	2.1236490	2.1262369	-20.2498626	1.6201393	-13.3794922	-130.0682164	-8.0821273	-31.4478106	32.4697640	1.4296556
0.0815534	-2.5486600	-9.6697785	-19.5882000	-0.1230021	2.0542275	2.0579067	-16.7007575	1.6306024	-13.6156382	-113.2430554	-8.1684257	-30.9946405	32.0529393	1.5306797
0.0834952	-2.6079400	-9.6539557	-19.5485000	-0.1365225	2.0028103	2.0074579	-14.6701895	1.6388565	-13.7858583	-103.5866274	-8.0495797	-29.7947366	30.8629562	1.5936950
0.0854369	-2.6671300	-9.6377532	-19.5080000	-0.1519108	1.9472512	1.9531677	-12.8183841	1.6486516	-13.9742019	-94.6566424	-8.3196651	-30.0634650	31.1934089	1.7262708
0.0873787	-2.7262100	-9.6212025	-19.4668000	-0.1689792	1.8857845	1.8933402	-11.1598618	1.6601645	-14.1858542	-86.6765084	-8.2236628	-29.0233615	30.1659435	1.7997864
0.0893204	-2.7852000	-9.6043038	-19.4249000	-0.1868243	1.8239423	1.8334854	-9.7628739	1.6728692	-14.4016686	-79.8718914	-8.3344680	-28.7402777	29.9243533	1.9396002
0.0912621	-2.8440800	-9.5870253	-19.3824000	-0.2027148	1.7698297	1.7814013	-8.7306375	1.6848385	-14.5895060	-74.8146689	-8.3772788	-28.2419821	29.4582476	2.0313050
0.0932039	-2.9028500	-9.5693987	-19.3393000	-0.2182422	1.7179566	1.7317634	-7.8717892	1.6971554	-14.7703523	-70.5815673	-8.2627452	-27.2384469	28.4641169	2.1303132
0.0951456	-2.9615100	-9.5514241	-19.2956000	-0.2350525	1.6631980	1.6797253	-7.0758583	1.7111922	-14.9645238	-66.6261186	-8.3458339	-26.9165003	28.1806836	2.2614592
0.0970874	-3.0200600	-9.5330696	-19.2513000	-0.2504918	1.6135452	1.6328730	-6.4415084	1.7248101	-15.1400666	-63.4614204	-8.1518401	-25.7297112	26.9901933	2.3389018
0.0990291	-3.0785000	-9.5143354	-19.2065000	-0.2659428	1.5657369	1.5881617	-5.8874946	1.7390422	-15.3109815	-60.6509577	-8.3011819	-25.6543308	26.9639446	2.5023454
0.1009709	-3.1368200	-9.4952848	-19.1611000	-0.2838269	1.5113760	1.5377955	-5.3249916	1.7564280	-15.5099755	-57.7827128	-8.3297760	-25.2164418	26.5566207	2.6263717
