Data calculated via numerical differentiation

Frequency:	3.1600000

Step size for numerical diff.:	8

Standard differentiation

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

-31.6254055	0.0020372	-7.9696239	-0.2394822	0.1985879	0.9503742	0.0485865	0.9800831	-0.1925526
-31.6245879	0.1955696	-6.9943428	-0.2103697	0.2007439	0.9567897	0.0491269	0.9796252	-0.1947334
-31.6230236	0.3901206	-6.0287179	-0.1809796	0.2024987	0.9624140	0.0495813	0.9792076	-0.1967085
-31.6198692	0.5836530	-5.0759681	-0.1514395	0.2051131	0.9669512	0.0501252	0.9785686	-0.1997271
-31.6157814	0.7771854	-4.1328744	-0.1217399	0.2082967	0.9704596	0.0506390	0.9777621	-0.2035117
-31.6104383	0.9707178	-3.2155308	-0.0925574	0.2100469	0.9733003	0.0509687	0.9772143	-0.2060446
-31.6038076	1.1642502	-2.2949684	-0.0629347	0.2134123	0.9749330	0.0512432	0.9762720	-0.2103975
-31.5962436	1.3577827	-1.4001561	-0.0339715	0.2157733	0.9758524	0.0513992	0.9755010	-0.2139063
-31.5872955	1.5533522	-0.5246562	-0.0055901	0.2160970	0.9763559	0.0515337	0.9751360	-0.2155319
-31.5776714	1.7468847	0.3508437	0.0229875	0.2196553	0.9753067	0.0514319	0.9740128	-0.2205761
-31.5656011	1.9373613	1.2038123	0.0508092	0.2229321	0.9735090	0.0511146	0.9729100	-0.2254627
-31.5538205	2.1319123	2.0439060	0.0781206	0.2251430	0.9711889	0.0508119	0.9720007	-0.2294184
-31.5399477	2.3264633	2.8582496	0.1044172	0.2255642	0.9686165	0.0506615	0.9714696	-0.2316899
-31.5246908	2.5210143	3.6790308	0.1308890	0.2291087	0.9645607	0.0499008	0.9701750	-0.2372137
-31.5090155	2.7155653	4.4611869	0.1558353	0.2300452	0.9606220	0.0495432	0.9694587	-0.2401984
-31.4909583	2.9111349	5.2465618	0.1806802	0.2318831	0.9558164	0.0488473	0.9684956	-0.2441928
-31.4725148	3.0985558	6.0094054	0.2046795	0.2371655	0.9496625	0.0471367	0.9666888	-0.2515769
-31.4526552	3.2941254	6.7464991	0.2274448	0.2375607	0.9443695	0.0466401	0.9660162	-0.2542390
-31.4326989	3.4886764	7.4739365	0.2497163	0.2404033	0.9380021	0.0454083	0.9647182	-0.2593391
-31.4101677	3.6811902	8.1884989	0.2712326	0.2421617	0.9315528	0.0442721	0.9636700	-0.2634011
-31.3873145	3.8726854	8.9062801	0.2926498	0.2480794	0.9234786	0.0416027	0.9615421	-0.2714885
-31.3628521	4.0651992	9.5757800	0.3122238	0.2496548	0.9166181	0.0404198	0.9604878	-0.2753714
-31.3374239	4.2577130	10.2581549	0.3319336	0.2549645	0.9081923	0.0376377	0.9584328	-0.2828251
-31.3113521	4.4461525	10.9051235	0.3503036	0.2598156	0.8998796	0.0349053	0.9564681	-0.2897418
-31.2578618	4.6364594	11.2345089	0.3605081	0.2596430	0.8958903	0.0368780	0.9557580	-0.2918334
-31.2289092	4.8279546	11.8616286	0.3778192	0.2623013	0.8879474	0.0348312	0.9543259	-0.2967302
-31.1986261	5.0209777	12.4721181	0.3944423	0.2662108	0.8795153	0.0322561	0.9525167	-0.3027730
-31.1670394	5.2112846	13.0708055	0.4104384	0.2703784	0.8708822	0.0293702	0.9506166	-0.3089750
-31.1345140	5.4027798	13.6523263	0.4257828	0.2770947	0.8613521	0.0252945	0.9479368	-0.3174523
-31.1011355	5.5932564	14.2172168	0.4403397	0.2809800	0.8527316	0.0223599	0.9460417	-0.3232725
-31.0659385	5.7837331	14.7697689	0.4543836	0.2876283	0.8430928	0.0180046	0.9432794	-0.3315113
-31.0303016	5.9742097	15.3056907	0.4677434	0.2939590	0.8335492	0.0136864	0.9405518	-0.3393745
-30.9929158	6.1650259	15.8292739	0.4805363	0.2984449	0.8246305	0.0101774	0.9383515	-0.3455327
-30.9546610	6.3544839	16.3405186	0.4928124	0.3065502	0.8143482	0.0046542	0.9349445	-0.3547636
-30.9150167	6.5437722	16.8388884	0.5045362	0.3126087	0.8048099	0.0000701	0.9321357	-0.3621092
-30.8740849	6.7332302	17.3163362	0.5155773	0.3218244	0.7941090	-0.0062692	0.9281767	-0.3720870
-30.8322412	6.9242162	17.7803726	0.5261291	0.3279274	0.7846348	-0.0109681	0.9252004	-0.3793204
-30.7890563	7.1126556	18.2374351	0.5362418	0.3370007	0.7738703	-0.0175895	0.9211005	-0.3889273
-30.7450131	7.3010951	18.6762579	0.5458095	0.3440442	0.7640193	-0.0230826	0.9176440	-0.3967326
-30.6995751	7.4910624	19.1032787	0.5549042	0.3527716	0.7534146	-0.0296600	0.9134532	-0.4058614
-30.6532251	7.6781438	19.5168880	0.5634186	0.3635739	0.7418716	-0.0376840	0.9083379	-0.4165359
-30.6051584	7.8655646	19.9133307	0.5714858	0.3725265	0.7311826	-0.0446330	0.9038127	-0.4255942
-30.5566089	8.0529855	20.3011900	0.5789933	0.3846325	0.7189052	-0.0537595	0.8978236	-0.4370614
-30.5067183	8.2419342	20.6718826	0.5861906	0.3935454	0.7081685	-0.0608730	0.8930190	-0.4458830
-30.4555402	8.4281667	21.0382836	0.5929680	0.4039732	0.6965591	-0.0692304	0.8874215	-0.4557304
-30.4029673	8.6145690	21.3826898	0.5990181	0.4163725	0.6839672	-0.0789180	0.8807139	-0.4670278
-30.3495360	8.8011410	21.7228044	0.6046389	0.4296440	0.6706846	-0.0894555	0.8733428	-0.4788215
-30.2947637	8.9861852	22.0452158	0.6098550	0.4416605	0.6580372	-0.0992295	0.8663372	-0.4895031
-30.2394548	9.1730967	22.3585074	0.6146967	0.4536720	0.6452361	-0.1091347	0.8590852	-0.5000622
-30.1824293	9.3584804	22.6594605	0.6189083	0.4671327	0.6314583	-0.1202401	0.8508016	-0.5115456
-30.1244382	9.5442036	22.9459292	0.6227764	0.4797312	0.6180676	-0.1308221	0.8426916	-0.5222609
-30.0655887	9.7285687	23.2281063	0.6262849	0.4923981	0.6044099	-0.1417026	0.8342731	-0.5328309
-30.0049689	9.9115757	23.4963354	0.6288495	0.5077197	0.5888709	-0.1547295	0.8239330	-0.5451542
-29.9438663	10.0962803	23.7516895	0.6315579	0.5198473	0.5752333	-0.1654273	0.8151867	-0.5550716
-29.8809397	10.2796268	23.9968510	0.6335868	0.5333131	0.5604864	-0.1773310	0.8052693	-0.5657694
-29.8172085	10.4631430	24.2328926	0.6350771	0.5472805	0.5451249	-0.1898073	0.7946364	-0.5766508
-29.7524580	10.6454710	24.4598144	0.6361496	0.5611116	0.5295918	-0.2023747	0.7836988	-0.5872484
-29.6868492	10.8291570	24.6727884	0.6363436	0.5763926	0.5126777	-0.2162391	0.7712402	-0.5986895
-29.6198992	11.0102965	24.8803977	0.6369876	0.5885138	0.4978939	-0.2277632	0.7607294	-0.6077950
-29.5515544	11.1902477	25.0778144	0.6362888	0.6035507	0.4804821	-0.2419119	0.7475167	-0.6186253
-29.4823513	11.3732547	25.2618195	0.6348909	0.6190605	0.4622527	-0.2566041	0.7333032	-0.6296196
-29.4121289	11.5535454	25.4399237	0.6332033	0.6338108	0.4442268	-0.2709464	0.7191490	-0.6398537
-29.3411018	11.7338361	25.6089080	0.6311568	0.6480710	0.4261985	-0.2850804	0.7048275	-0.6495748
-29.2683044	11.9144664	25.7714549	0.6290168	0.6613365	0.4086220	-0.2985781	0.6908408	-0.6584756
